object_id,item_id,artist_id,artist_display_name,title,style,medium,culture,department,classification,object_date,price,quality,popularity_prior,freshness,margin,margin_pct,availability,is_public_domain,object_name,artist_nationality,period,tags,dominant_hue,palette,description,embedding
100000,item_0000,artist_000,Leila Khan,Fragments of Falling City,contemporary,Acrylic on canvas,Spanish,Asian Art,Photography,1948,151.12,0.5426,0.1499,0.2145,41.02,0.2714,1,True,Painting,Spanish,20th century,garden|movement|portrait|red,red,high-contrast,"Fragments of Falling City is a contemporary acrylic on canvas work with a high-contrast palette and tags movement, garden, portrait, red.","[0.13250647536990767, -0.036884222256624064, 0.1727813165800213, 0.850902760088495, -0.06246417218527865, -0.06245979248042513, 0.42128037377896227, 0.20472553564265378]"
100001,item_0001,artist_001,Leila Valette,View of Golden Figure,landscape,Acrylic on canvas,Dutch,Asian Art,Paintings,1925,87.6,0.3757,0.1274,0.7204,46.43,0.53,1,True,Painting,Dutch,20th century,flowers|nature|red|sea,red,warm,"View of Golden Figure is a landscape acrylic on canvas work with a warm palette and tags flowers, sea, nature, red.","[-0.3147155487596955, -0.48949575937835665, 0.507984831057868, -0.07825267437294306, 0.023404859593527984, -0.49380894114637913, 0.3889766981261071, 0.03844508601861582]"
100002,item_0002,artist_002,Ari Valette,Echoes of Harbor Light,surrealism,Ink on paper,Japanese,European Paintings,Paintings,1972,200.56,-0.3011,0.0632,0.8887,98.34,0.4903,1,True,Painting,Japanese,20th century,portrait|violet,violet,earth,"Echoes of Harbor Light is a surrealism ink on paper work with a earth palette and tags portrait, violet.","[0.23968061584564948, -0.3557405237947623, 0.06086057349801703, -0.5710264998720229, -0.38701892805293975, 0.05736321695626504, 0.21518110691629472, 0.5355833362602318]"
100003,item_0003,artist_003,Elena Silva,Portrait of Red Horizon,abstract,Pastel on paper,French,Photographs,Paintings,1935,149.95,-0.1857,0.1122,0.3214,78.42,0.523,1,True,Painting,French,20th century,black|night,black,neutral,"Portrait of Red Horizon is a abstract pastel on paper work with a neutral palette and tags night, black.","[0.43633245399608384, 0.2696596660050956, 0.45451980395466973, 0.4105581505438945, -0.36997202792785494, -0.13631737492177512, 0.1460386611376829, 0.43007253665370093]"
100004,item_0004,artist_004,Sofia Ito,Fragments of Falling City,abstract,Mixed media,American,European Paintings,Prints,1905,236.76,-1.9876,0.1385,0.4289,72.5,0.3062,1,True,Painting,American,20th century,architecture|red,red,neutral,"Fragments of Falling City is a abstract mixed media work with a neutral palette and tags architecture, red.","[0.4983155983635316, 0.37791128134418356, -0.008802823444333361, 0.384448914744838, -0.6436981087885029, 0.2019498335349277, 0.021388353055044048, -0.07346915763227112]"
100005,item_0005,artist_005,Jonas Mercer,Memory of Mirror Lake,modern,Ink on paper,French,Drawings and Prints,Photography,1936,160.76,-1.4635,0.1982,0.2651,89.13,0.5544,1,True,Painting,French,20th century,dreamlike|flowers|portrait|violet,violet,cool,"Memory of Mirror Lake is a modern ink on paper work with a cool palette and tags portrait, flowers, dreamlike, violet.","[0.4548683004332311, 0.16335821779812407, 0.5649350165683349, 0.2550453843760759, 0.048238363259432294, 0.4813249740703109, -0.3488540079277111, -0.1628171061187543]"
100006,item_0006,artist_006,Elena Valette,Composition in Golden Figure,surrealism,Acrylic on canvas,American,Drawings and Prints,Paintings,1941,230.86,2.0,0.1436,0.5606,96.83,0.4194,1,True,Painting,American,20th century,black|nature,black,earth,"Composition in Golden Figure is a surrealism acrylic on canvas work with a earth palette and tags nature, black.","[-0.050448354341841674, 0.1263825579225219, 0.5899777092213969, 0.05460597390178135, 0.08055886189700247, -0.023285844102866105, -0.6001700285192252, 0.5130213230384786]"
100007,item_0007,artist_007,Noah Mercer,Composition in Blue Garden,contemporary,Pastel on paper,British,European Paintings,Drawings,2023,63.63,0.0686,0.0657,0.3971,29.32,0.4608,1,True,Painting,British,21th century,architecture|red,red,neutral,"Composition in Blue Garden is a contemporary pastel on paper work with a neutral palette and tags architecture, red.","[0.3081755825220628, -0.3079683632284587, 0.128924836185297, 0.8473593741263551, -0.21760788921556912, -0.12440821248041518, 0.021892102958779042, -0.1106070232701451]"
100008,item_0008,artist_008,Marcus Ito,Light over Evening Field,contemporary,Acrylic on canvas,American,European Paintings,Photography,1898,81.78,-1.3205,0.2223,0.32,30.46,0.3725,1,True,Painting,American,19th century,dreamlike|garden|gold|nature,gold,neutral,"Light over Evening Field is a contemporary acrylic on canvas work with a neutral palette and tags dreamlike, garden, nature, gold.","[0.21461177162121559, -0.3247109783728053, 0.0600055886906396, 0.7845126011681396, -0.4240657941278983, 0.04870775766614527, 0.06855897539311925, 0.20625057223573234]"
100009,item_0009,artist_009,Noah Morel,Composition in Golden Figure,portrait,Acrylic on canvas,French,Photographs,Photography,2003,555.85,-0.8207,0.2679,0.6113,206.71,0.3719,1,True,Painting,French,21th century,figure|green,green,cool,"Composition in Golden Figure is a portrait acrylic on canvas work with a cool palette and tags figure, green.","[0.08227737349696478, -0.20054752248650148, 0.5237988562580735, 0.1330241894443805, -0.3344473866287998, 0.6522225037211654, -0.27363282166800357, 0.22096668850175377]"
